,Satellite Name,Launch Date,Launch Site,lat,lon
50,OBJECT C,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
51,OBJECT D,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
52,CBERS 4A,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
53,OBJECT F,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
54,OBJECT G,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
55,OBJECT H,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
56,OBJECT J,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
57,CZ-4B R/B,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
58,OBJECT L,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
59,OBJECT M,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
60,OBJECT N,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818
61,DRAGON CRS-19,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
62,DRAGON CRS-19 DEB,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
63,DRAGON CRS-19 DEB,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
64,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
65,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
66,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
67,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
68,ATLAS 5 CENTAUR R/B DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
