,Unnamed: 0,Satellite Name,Launch Date,Launch Site
85,44894,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States"
86,44895,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States"
87,44896,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States"
88,44897,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States"
89,44898,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States"
90,44899,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States"
91,44900,CST-100 STARLINER,20 December 2019 11:36,"Cape Canaveral Air Force Station, United States"
92,44901,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China"
93,44902,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China"
94,44903,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan"
95,44904,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan"
96,44905,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia"
97,44906,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia"
98,44907,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia"
99,44908,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia"
100,44909,RS-44,26 December 2019 23:11,Amateur radio 
101,44912,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
102,44913,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
103,44900,CST-100 STARLINER,20 December 2019 11:36,"Cape Canaveral Air Force Station, United States"
104,44901,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China"
105,44902,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China"
106,44903,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan"
107,44904,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan"
108,44905,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia"
109,44906,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia"
110,44907,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia"
111,44908,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia"
112,44909,RS-44,26 December 2019 23:11,Amateur radio 
113,44912,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
114,44913,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
